trade_date,snp500_close,nasdaq_close,phlx_semi_close
2022-04-22,4271.78,12839.29,2989.83
2022-04-25,4296.12,13004.85,3042.39
2022-04-26,4175.2,12490.74,2909.12
2022-04-27,4183.96,12488.93,2894.91
2022-04-28,4287.5,12871.53,3056.36
2022-04-29,4131.93,12334.64,2919.74
2022-05-02,4155.38,12536.02,3022.24
2022-05-03,4175.48,12563.76,3044.89
2022-05-04,4300.17,12964.86,3163.79
2022-05-05,4146.87,12317.69,3005.53
2022-05-06,4123.34,12144.66,2982.06
2022-05-09,3991.24,11623.25,2829.1
2022-05-10,4001.05,11737.67,2900.13
2022-05-11,3935.18,11364.24,2811.94
2022-05-12,3930.08,11370.96,2827.21
2022-05-13,4023.89,11805.0,2970.37
2022-05-16,4008.01,11662.79,2920.06
2022-05-17,4088.85,11984.52,3066.5
2022-05-18,3923.68,11418.15,2907.96
2022-05-19,3900.79,11388.5,2890.33
2022-05-20,3901.36,11354.62,2882.65
2022-05-23,3973.75,11535.27,2898.43
2022-05-24,3941.48,11264.45,2827.05
2022-05-25,3978.73,11434.74,2882.93
2022-05-26,4057.84,11740.65,2994.61
2022-05-27,4158.24,12131.13,3115.35
2022-05-31,4132.15,12081.39,3098.69
2022-06-01,4101.23,11994.46,3049.03
2022-06-02,4176.82,12316.9,3157.98
2022-06-03,4108.54,12012.73,3062.59
2022-06-06,4121.43,12061.37,3062.74
2022-06-07,4160.68,12175.23,3092.97
2022-06-08,4115.77,12086.27,3019.1
2022-06-09,4017.82,11754.23,2937.79
2022-06-10,3900.86,11340.02,2831.98
2022-06-13,3749.63,10809.23,2673.0
2022-06-14,3735.48,10828.35,2689.89
2022-06-15,3789.99,11099.15,2737.55
2022-06-16,3666.77,10646.1,2566.86
2022-06-17,3674.84,10798.35,2578.54
2022-06-21,3764.79,11069.3,2649.37
2022-06-22,3759.89,11053.08,2619.71
2022-06-23,3795.73,11232.19,2602.74
2022-06-24,3911.74,11607.62,2718.47
