trade_date,kospi_close,kosdaq_close,vkospi,program_net_amt,vix,us_10y_yield,usd_krw,snp500_close,nasdaq_close,phlx_semi_close
2022-08-26,2481.030029296875,802.4500122070312,16.190000534057617,-24426000000,21.78,3.03,1335.46,4199.12,12639.27,2971.07
2022-08-29,2426.889892578125,779.8900146484375,18.71999931335449,-161750000000,25.56,3.04,1331.17,4057.66,12141.71,2798.44
2022-08-30,2450.929931640625,797.02001953125,17.469999313354492,325000000,26.21,3.12,1349.8,4030.61,12017.67,2744.5
2022-08-31,2472.050048828125,807.0399780273438,17.309999465942383,291535000000,26.21,3.11,1346.37,3986.16,11883.14,2708.63
2022-09-01,2415.610107421875,788.3200073242188,19.200000762939453,-850724000000,25.87,3.15,1338.66,3955.0,11816.2,2677.39
2022-09-02,2409.409912109375,785.8800048828125,19.06999969482422,-268932000000,25.56,3.26,1354.34,3966.85,11785.13,2625.95
2022-09-05,2403.679931640625,771.4299926757812,18.8700008392334,-30422000000,25.47,3.2,1362.2,3924.26,11630.86,2599.26
2022-09-06,2410.02001953125,779.4600219726562,18.489999771118164,-74086000000,25.99,3.2,1362.2,3924.26,11630.86,2599.26
2022-09-07,2376.4599609375,768.1900024414062,19.850000381469727,-404088000000,26.91,3.33,1378.95,3908.19,11544.91,2571.47
2022-09-08,2384.280029296875,777.8099975585938,19.170000076293945,-415362000000,24.64,3.27,1383.72,3979.87,11791.9,2611.5
2022-09-13,2449.5400390625,796.7899780273438,16.68000030517578,355198000000,23.87,3.37,1377.38,4110.41,12266.41,2731.09
2022-09-14,2411.419921875,782.9299926757812,18.729999542236328,-177228000000,27.27,3.42,1373.76,3932.69,11633.57,2562.27
2022-09-15,2401.830078125,781.3800048828125,18.38999938964844,-285224000000,26.16,3.41,1391.1,3946.01,11719.68,2591.51
2022-09-16,2382.780029296875,770.0399780273438,19.1299991607666,-258180000000,26.27,3.45,1393.93,3901.35,11552.36,2549.54
2022-09-19,2355.659912109375,751.9099731445312,19.63999938964844,112171000000,26.3,3.45,1384.48,3873.33,11448.4,2563.14
2022-09-20,2367.85009765625,760.3499755859375,19.280000686645508,93968000000,25.76,3.49,1393.05,3899.89,11535.02,2577.94
2022-09-21,2347.2099609375,754.8900146484375,20.799999237060547,-140985000000,27.16,3.57,1389.86,3855.93,11425.05,2539.5
2022-09-22,2332.31005859375,751.4099731445312,20.46999931335449,-115055000000,27.99,3.51,1395.92,3789.93,11220.19,2514.96
2022-09-23,2290.0,729.3599853515625,20.32999992370605,-195500000000,27.35,3.7,1412.29,3757.99,11066.81,2444.25
